Country,Year,CB.Rate,,,,,,
Canada,2009,0.5,,,,,,
Canada,2010,1.25,,,,,,
Canada,2011,1.25,,,,,,
Canada,2012,1.25,,,,,,
Canada,2013,1.25,,,,,,
Canada,2014,1.25,,,,,,
Canada,2015,0.75,,,,,,
Denmark,1970,9,,,,,,
Denmark,1971,7.5,,,,,,
Denmark,1972,7,,,,,,
Denmark,1973,9,,,,,,
Denmark,1974,10,,,,,,
Denmark,1975,7.5,,,,,,
Denmark,1976,10,,,,,,
Denmark,1977,9,,,,,,
Denmark,1978,8,,,,,,
Denmark,1979,11,,,,,,
Denmark,1980,11,,,,,,
Denmark,1981,11,,,,,,
Denmark,1982,10,,,,,,
Denmark,1983,7,,,,,,
Denmark,1984,7,,,,,,
Denmark,1985,7,,,,,,
Denmark,1986,7,,,,,,
Denmark,1987,7,,,,,,
Denmark,1988,7,,,,,,
Denmark,1989,7,,,,,,
Denmark,1990,8.5,,,,,,
Denmark,1991,9.5,,,,,,
Denmark,1992,9.5,,,,,,
Denmark,1993,6.25,,,,,,
Denmark,1994,5,,,,,,
Denmark,1995,4.25,,,,,,
Denmark,1996,3.25,,,,,,
Denmark,1997,3.5,,,,,,
Denmark,1998,3.5,,,,,,
Denmark,1999,3,,,,,,
Denmark,2000,4.75,,,,,,
Denmark,2001,3.25,,,,,,
Denmark,2002,2.86,,,,,,
Denmark,2003,2,,,,,,
Denmark,2004,2,,,,,,
Denmark,2005,2.25,,,,,,
Denmark,2006,3.5,,,,,,
Denmark,2007,4,,,,,,
Denmark,2008,3.5,,,,,,
Denmark,2009,1,,,,,,
Denmark,2010,0.75,,,,,,
Denmark,2011,0.75,,,,,,
Denmark,2012,0,,,,,,
Denmark,2013,0,,,,,,
Denmark,2014,0,,,,,,
Denmark,2015,0,,,,,,
Finland,1970,7,,,,,,
Finland,1971,8.5,,,,,,
Finland,1972,7.75,,,,,,
Finland,1973,9.25,,,,,,
Finland,1974,9.25,,,,,,
Finland,1975,9.25,,,,,,
Finland,1976,9.25,,,,,,
Finland,1977,8.25,,,,,,
Finland,1978,7.25,,,,,,
Finland,1979,8.5,,,,,,
Finland,1980,9.25,,,,,,
Finland,1981,9.25,,,,,,
Finland,1982,8.5,,,,,,
Finland,1983,9.5,,,,,,
Finland,1984,9.5,,,,,,
Finland,1985,9,,,,,,
Finland,1986,7,,,,,,
Finland,1987,7,,,,,,
Finland,1988,8,,,,,,
Finland,1989,8.5,,,,,,
Finland,1990,8.5,,,,,,
Finland,1991,8.5,,,,,,
Finland,1992,9.5,,,,,,
Finland,1993,5.5,,,,,,
Finland,1994,5.25,,,,,,
Finland,1995,4.88,,,,,,
Finland,1996,4,,,,,,
Finland,1997,4,,,,,,
Finland,1998,3.5,,,,,,
Finland,1999,3,,,,,,
Finland,2000,4.75,,,,,,
Finland,2001,3.25,,,,,,
Finland,2002,2.75,,,,,,
Finland,2003,2,,,,,,
Finland,2004,2,,,,,,
Finland,2005,2.25,,,,,,
Finland,2006,3.5,,,,,,
Finland,2007,4,,,,,,
Finland,2008,2.5,,,,,,
Finland,2009,1,,,,,,
Finland,2010,1,,,,,,
Finland,2011,1,,,,,,
Finland,2012,0.75,,,,,,
Finland,2013,0.25,,,,,,
Finland,2014,0.05,,,,,,
Finland,2015,0.05,,,,,,
France,1970,8.68083,,,,,,
France,1971,5.84083,,,,,,836
France,1972,4.9525,,,,,,
France,1973,8.90833,,,,,,
France,1974,12.91,,,,,,
France,1975,7.91667,,,,,,
France,1976,8.56,,,,,,
France,1977,9.06917,,,,,,
France,1978,7.98083,,,,,,
France,1979,9.04083,,,,,,
France,1980,11.8442,,,,,,
France,1981,15.3,,,,,,
France,1982,14.87,,,,,,
France,1983,12.5333,,,,,,
France,1984,11.7408,,,,,,
France,1985,9.93417,,,,,,
France,1986,7.7425,,,,,,
France,1987,7.97583,,,,,,
France,1988,7.52333,,,,,,
France,1989,9.07167,,,,,,
France,1990,9.84667,,,,,,
France,1991,9.49067,,,,,,
France,1992,10.3517,,,,,,
France,1993,8.74917,,,,,,
France,1994,5.6925,,,,,,
France,1995,6.35417,,,,,,
France,1996,3.72833,,,,,,
France,1997,3.24083,,,,,,
France,1998,3.3925,,,,,,
France,1999,3,,,,,,
France,2000,4.75,,,,,,
France,2001,3.25,,,,,,
France,2002,2.75,,,,,,
France,2003,2,,,,,,
France,2004,2,,,,,,
France,2005,2.25,,,,,,
France,2006,3.5,,,,,,
France,2007,4,,,,,,
France,2008,2.5,,,,,,
France,2009,1,,,,,,
France,2010,1,,,,,,
France,2011,1,,,,,,
France,2012,0.75,,,,,,
France,2013,0.25,,,,,,
France,2014,0.05,,,,,,
France,2015,0.05,,,,,,
Germany,1970,6,,,,,,
Germany,1971,4,,,,,,
Germany,1972,4.5,,,,,,
Germany,1973,7,,,,,,
Germany,1974,6,,,,,,
Germany,1975,3.5,,,,,,
Germany,1976,3.5,,,,,,
Germany,1977,3,,,,,,
Germany,1978,3,,,,,,
Germany,1979,6,,,,,,
Germany,1980,7.5,,,,,,
Germany,1981,7.5,,,,,,
Germany,1982,5,,,,,,
Germany,1983,4,,,,,,
Germany,1984,4.5,,,,,,
Germany,1985,4,,,,,,
Germany,1986,3.5,,,,,,
Germany,1987,2.5,,,,,,
Germany,1988,3.5,,,,,,
Germany,1989,6,,,,,,
Germany,1990,6,,,,,,
Germany,1991,8,,,,,,
Germany,1992,8.25,,,,,,
Germany,1993,5.75,,,,,,
Germany,1994,4.5,,,,,,
Germany,1995,3,,,,,,
Germany,1996,2.5,,,,,,
Germany,1997,2.5,,,,,,
Germany,1998,2.5,,,,,,
Germany,1999,3,,,,,,
Germany,2000,4.75,,,,,,
Germany,2001,3.25,,,,,,
Germany,2002,2.75,,,,,,
Germany,2003,2,,,,,,
Germany,2004,2,,,,,,
Germany,2005,2.25,,,,,,
Germany,2006,3.5,,,,,,
Germany,2007,4,,,,,,
Germany,2008,2.5,,,,,,
Germany,2009,1,,,,,,
Germany,2010,1,,,,,,
Germany,2011,1,,,,,,
Germany,2012,0.75,,,,,,
Germany,2013,0.25,,,,,,
Germany,2014,0.05,,,,,,
Germany,2015,0.05,,,,,,
Greece,1970,6.5,,,,,,
Greece,1971,6.5,,,,,,
Greece,1972,6.5,,,,,,
Greece,1973,9,,,,,,
Greece,1974,8,,,,,,
Greece,1975,10,,,,,,
Greece,1976,10,,,,,,
Greece,1977,11,,,,,,
Greece,1978,14,,,,,,
Greece,1979,19,,,,,,
Greece,1980,20.5,,,,,,
Greece,1981,20.5,,,,,,
Greece,1982,20.5,,,,,,
Greece,1983,20.5,,,,,,
Greece,1984,20.5,,,,,,
Greece,1985,20.5,,,,,,
Greece,1986,20.5,,,,,,
Greece,1987,20.5,,,,,,
Greece,1988,19,,,,,,
Greece,1989,19,,,,,,
Greece,1990,19,,,,,,
Greece,1991,19,,,,,,
Greece,1992,19,,,,,,
Greece,1993,21.5,,,,,,
Greece,1994,20.5,,,,,,
Greece,1995,18,,,,,,
Greece,1996,16.5,,,,,,
Greece,1997,14.5,,,,,,
Greece,1998,12.25,,,,,,
Greece,1999,11.8125,,,,,,
Greece,2000,8.104166667,,,,,,
Greece,2001,3.25,,,,,,
Greece,2002,2.75,,,,,,
Greece,2003,2,,,,,,
Greece,2004,2,,,,,,
Greece,2005,2.25,,,,,,
Greece,2006,3.5,,,,,,
Greece,2007,4,,,,,,
Greece,2008,2.5,,,,,,
Greece,2009,1,,,,,,
Greece,2010,1,,,,,,
Greece,2011,1,,,,,,
Greece,2012,0.75,,,,,,
Greece,2013,0.25,,,,,,
Greece,2014,0.05,,,,,,
Greece,2015,0.05,,,,,,
Iceland,1970,5.3,,,,,,
Iceland,1971,5.3,,,,,,
Iceland,1972,5.3,,,,,,
Iceland,1973,6.3,,,,,,
Iceland,1974,7.3,,,,,,
Iceland,1975,7.3,,,,,,
Iceland,1976,7.3,,,,,,
Iceland,1977,14,,,,,,
Iceland,1978,17,,,,,,
Iceland,1979,26,,,,,,
Iceland,1980,28,,,,,,
Iceland,1981,28,,,,,,
Iceland,1982,28,,,,,,
Iceland,1983,22,,,,,,
Iceland,1984,16.5,,,,,,
Iceland,1985,30,,,,,,
Iceland,1986,21,,,,,,
Iceland,1987,49.2,,,,,,
Iceland,1988,24.1,,,,,,
Iceland,1989,38.4,,,,,,
Iceland,1990,21,,,,,,
Iceland,1991,21,,,,,,
Iceland,1992,16.625,,,,,,
Iceland,1993,10.6625,,,,,,
Iceland,1994,4.7,,,,,,
Iceland,1995,5.933333333,,,,,,
Iceland,1996,5.7,,,,,,
Iceland,1997,6.55,,,,,,
Iceland,1998,8.5,,,,,,
Iceland,1999,10,,,,,,
Iceland,2000,12.4,,,,,,
Iceland,2001,12,,,,,,
Iceland,2002,8.2,,,,,,
Iceland,2003,7.7,,,,,,
Iceland,2004,10.25,,,,,,
Iceland,2005,12,,,,,,
Iceland,2006,15.25,,,,,,
Iceland,2007,15.25,,,,,,
Iceland,2008,22,,,,,,
Iceland,2009,14.55,,,,,,
Iceland,2010,5.5,,,,,,
Iceland,2011,5.75,,,,,,
Iceland,2012,7,,,,,,
Iceland,2013,7,,,,,,
Iceland,2014,6.25,,,,,,
Iceland,2015,7.5,,,,,,
Ireland,1970,7.309999999,,,,,,
Ireland,1971,4.809999999,,,,,,
Ireland,1972,8,,,,,,
Ireland,1973,12.75,,,,,,
Ireland,1974,12,,,,,,
Ireland,1975,10,,,,,,
Ireland,1976,14.75,,,,,,
Ireland,1977,6.75,,,,,,
Ireland,1978,11.85,,,,,,
Ireland,1979,16.5,,,,,,
Ireland,1980,14,,,,,,
Ireland,1981,16.5,,,,,,
Ireland,1982,14,,,,,,
Ireland,1983,12.25,,,,,,
Ireland,1984,14,,,,,,
Ireland,1985,10.25,,,,,,
Ireland,1986,13.25,,,,,,
Ireland,1987,9.25,,,,,,
Ireland,1988,8,,,,,,
Ireland,1989,12,,,,,,
Ireland,1990,11.25,,,,,,
Ireland,1991,10.75,,,,,,
Ireland,1992,8.875,,,,,,
Ireland,1993,7,,,,,,
Ireland,1994,6.25,,,,,,
Ireland,1995,6.5,,,,,,
Ireland,1996,6.25,,,,,,
Ireland,1997,6.75,,,,,,
Ireland,1998,4.06,,,,,,
Ireland,1999,3,,,,,,
Ireland,2000,4.75,,,,,,
Ireland,2001,3.25,,,,,,
Ireland,2002,2.75,,,,,,
Ireland,2003,2,,,,,,
Ireland,2004,2,,,,,,
Ireland,2005,2.25,,,,,,
Ireland,2006,3.5,,,,,,
Ireland,2007,4,,,,,,
Ireland,2008,2.5,,,,,,
Ireland,2009,1,,,,,,
Ireland,2010,1,,,,,,
Ireland,2011,1,,,,,,
Ireland,2012,0.75,,,,,,
Ireland,2013,0.25,,,,,,
Ireland,2014,0.05,,,,,,
Ireland,2015,0.05,,,,,,
Italy,1970,5.5,,,,,,
Italy,1971,4.5,,,,,,
Italy,1972,4,,,,,,
Italy,1973,6.5,,,,,,
Italy,1974,8,,,,,,
Italy,1975,6,,,,,,
Italy,1976,15,,,,,,
Italy,1977,11.5,,,,,,
Italy,1978,10.5,,,,,,
Italy,1979,15,,,,,,
Italy,1980,16.5,,,,,,
Italy,1981,19,,,,,,
Italy,1982,18,,,,,,
Italy,1983,17,,,,,,
Italy,1984,16.5,,,,,,
Italy,1985,15,,,,,,
Italy,1986,12,,,,,,
Italy,1987,12,,,,,,
Italy,1988,12.5,,,,,,
Italy,1989,13.5,,,,,,
Italy,1990,12.5,,,,,,
Italy,1991,12,,,,,,
Italy,1992,12,,,,,,
Italy,1993,8,,,,,,
Italy,1994,7.5,,,,,,
Italy,1995,9,,,,,,
Italy,1996,7.5,,,,,,
Italy,1997,5.5,,,,,,
Italy,1998,3,,,,,,
Italy,1999,3,,,,,,
Italy,2000,4.75,,,,,,
Italy,2001,3.25,,,,,,
Italy,2002,2.75,,,,,,
Italy,2003,2,,,,,,
Italy,2004,2,,,,,,
Italy,2005,2.25,,,,,,
Italy,2006,3.5,,,,,,
Italy,2007,4,,,,,,
Italy,2008,2.5,,,,,,
Italy,2009,1,,,,,,
Italy,2010,1,,,,,,
Italy,2011,1,,,,,,
Italy,2012,0.75,,,,,,
Italy,2013,0.25,,,,,,
Italy,2014,0.05,,,,,,
Italy,2015,0.05,,,,,,
Japan,1970,6,,,,,,
Japan,1971,4.75,,,,,,
Japan,1972,4.25,,,,,,
Japan,1973,9,,,,,,
Japan,1974,9,,,,,,
Japan,1975,6.5,,,,,,
Japan,1976,6.5,,,,,,
Japan,1977,4.25,,,,,,
Japan,1978,3.5,,,,,,
Japan,1979,6.25,,,,,,
Japan,1980,7.25,,,,,,
Japan,1981,5.5,,,,,,
Japan,1982,5.5,,,,,,
Japan,1983,5,,,,,,
Japan,1984,5,,,,,,
Japan,1985,5,,,,,,
Japan,1986,3,,,,,,
Japan,1987,2.5,,,,,,
Japan,1988,2.5,,,,,,
Japan,1989,4.25,,,,,,
Japan,1990,6,,,,,,
Japan,1991,4.5,,,,,,
Japan,1992,3.25,,,,,,
Japan,1993,1.75,,,,,,
Japan,1994,1.75,,,,,,
Japan,1995,0.5,,,,,,
Japan,1996,0.5,,,,,,
Japan,1997,0.5,,,,,,
Japan,1998,0.5,,,,,,
Japan,1999,0.5,,,,,,
Japan,2000,0.5,,,,,,
Japan,2001,0.1,,,,,,
Japan,2002,0.1,,,,,,
Japan,2003,0.1,,,,,,
Japan,2004,0.1,,,,,,
Japan,2005,0.1,,,,,,
Japan,2006,0.4,,,,,,
Japan,2007,0.75,,,,,,
Japan,2008,0.3,,,,,,
Japan,2009,0.3,,,,,,
Japan,2010,0.3,,,,,,
Japan,2011,0.3,,,,,,
Japan,2012,0.3,,,,,,
Japan,2013,0.3,,,,,,
Japan,2014,0.3,,,,,,
Japan,2015,0.3,,,,,,
Netherlands,1970,6,,,,,,
Netherlands,1971,5,,,,,,
Netherlands,1972,4,,,,,,
Netherlands,1973,8,,,,,,
Netherlands,1974,7,,,,,,
Netherlands,1975,4.5,,,,,,
Netherlands,1976,6,,,,,,
Netherlands,1977,4.5,,,,,,
Netherlands,1978,6.5,,,,,,
Netherlands,1979,9.5,,,,,,
Netherlands,1980,8,,,,,,
Netherlands,1981,9,,,,,,
Netherlands,1982,5,,,,,,
Netherlands,1983,5,,,,,,
Netherlands,1984,5,,,,,,
Netherlands,1985,5,,,,,,
Netherlands,1986,4.5,,,,,,
Netherlands,1987,3.75,,,,,,
Netherlands,1988,4.5,,,,,,
Netherlands,1989,7,,,,,,
Netherlands,1990,7.25,,,,,,
Netherlands,1991,8.5,,,,,,
Netherlands,1992,7.75,,,,,,
Netherlands,1993,5,,,,,,
Netherlands,1994,4.5,,,,,,
Netherlands,1995,2.75,,,,,,
Netherlands,1996,2,,,,,,
Netherlands,1997,2.5,,,,,,
Netherlands,1998,2.75,,,,,,
Netherlands,1999,3,,,,,,
Netherlands,2000,4.75,,,,,,
Netherlands,2001,3.25,,,,,,
Netherlands,2002,2.75,,,,,,
Netherlands,2003,2,,,,,,
Netherlands,2004,2,,,,,,
Netherlands,2005,2.25,,,,,,
Netherlands,2006,3.5,,,,,,
Netherlands,2007,4,,,,,,
Netherlands,2008,2.5,,,,,,
Netherlands,2009,1,,,,,,
Netherlands,2010,1,,,,,,
Netherlands,2011,1,,,,,,
Netherlands,2012,0.75,,,,,,
Netherlands,2013,0.25,,,,,,
Netherlands,2014,0.05,,,,,,
Netherlands,2015,0.05,,,,,,
New Zealand,1970,7,,,,,,
New Zealand,1971,7,,,,,,
New Zealand,1972,6,,,,,,
New Zealand,1973,6,,,,,,
New Zealand,1974,7,,,,,,
New Zealand,1975,7,,,,,,
New Zealand,1976,8.5,,,,,,
New Zealand,1977,10,,,,,,
New Zealand,1978,10.5,,,,,,
New Zealand,1979,13,,,,,,
New Zealand,1980,14,,,,,,
New Zealand,1981,13,,,,,,
New Zealand,1982,13,,,,,,
New Zealand,1983,7.5,,,,,,
New Zealand,1984,13.5,,,,,,
New Zealand,1985,19.8,,,,,,
New Zealand,1986,24.6,,,,,,
New Zealand,1987,18.55,,,,,,
New Zealand,1988,15.1,,,,,,
New Zealand,1989,15,,,,,,
New Zealand,1990,13.25,,,,,,
New Zealand,1991,8.3,,,,,,
New Zealand,1992,9.15,,,,,,
New Zealand,1993,5.7,,,,,,
New Zealand,1994,9.75,,,,,,
New Zealand,1995,9.8,,,,,,
New Zealand,1996,8.8,,,,,,
New Zealand,1997,9.7,,,,,,
New Zealand,1998,5.6,,,,,,
New Zealand,1999,5,,,,,,
New Zealand,2000,6.5,,,,,,
New Zealand,2001,4.75,,,,,,
New Zealand,2002,5.75,,,,,,
New Zealand,2003,5,,,,,,
New Zealand,2004,6.5,,,,,,
New Zealand,2005,7.25,,,,,,
New Zealand,2006,7.25,,,,,,
New Zealand,2007,8.25,,,,,,
New Zealand,2008,5,,,,,,
New Zealand,2009,2.5,,,,,,
New Zealand,2010,3,,,,,,
New Zealand,2011,2.5,,,,,,
New Zealand,2012,2.5,,,,,,
New Zealand,2013,2.5,,,,,,
New Zealand,2014,3.5,,,,,,
New Zealand,2015,2.5,,,,,,
Norway,1970,4.5,,,,,,
Norway,1971,4.5,,,,,,
Norway,1972,4.5,,,,,,
Norway,1973,4.5,,,,,,
Norway,1974,5.5,,,,,,
Norway,1975,5,,,,,,
Norway,1976,6,,,,,,
Norway,1977,6,,,,,,
Norway,1978,7,,,,,,
Norway,1979,9,,,,,,
Norway,1980,9,,,,,,
Norway,1981,9,,,,,,
Norway,1982,9.199999999,,,,,,
Norway,1983,10,,,,,,
Norway,1984,10.2,,,,,,
Norway,1985,10.7,,,,,,
Norway,1986,14.8,,,,,,
Norway,1987,13.8,,,,,,
Norway,1988,12,,,,,,
Norway,1989,11,,,,,,
Norway,1990,10.5,,,,,,
Norway,1991,10,,,,,,
Norway,1992,11,,,,,,
Norway,1993,7,,,,,,
Norway,1994,6.75,,,,,,
Norway,1995,6.75,,,,,,
Norway,1996,6,,,,,,
Norway,1997,5.5,,,,,,
Norway,1998,10,,,,,,
Norway,1999,7.5,,,,,,
Norway,2000,9,,,,,,
Norway,2001,8.5,,,,,,
Norway,2002,8.5,,,,,,
Norway,2003,4.25,,,,,,
Norway,2004,3.75,,,,,,
Norway,2005,4.25,,,,,,
Norway,2006,5.5,,,,,,
Norway,2007,6.25,,,,,,
Norway,2008,4,,,,,,
Norway,2009,1.75,,,,,,
Norway,2010,2,,,,,,
Norway,2011,1.75,,,,,,
Norway,2012,1.5,,,,,,
Norway,2013,1.5,,,,,,
Norway,2014,1.25,,,,,,
Norway,2015,0.75,,,,,,
Portugal,1970,3.5,,,,,,
Portugal,1971,3.75,,,,,,
Portugal,1972,4,,,,,,
Portugal,1973,5,,,,,,
Portugal,1974,7.5,,,,,,
Portugal,1975,6.5,,,,,,
Portugal,1976,6.5,,,,,,
Portugal,1977,13,,,,,,
Portugal,1978,18,,,,,,
Portugal,1979,18,,,,,,
Portugal,1980,18,,,,,,
Portugal,1981,18,,,,,,
Portugal,1982,19,,,,,,
Portugal,1983,25,,,,,,
Portugal,1984,25,,,,,,
Portugal,1985,19,,,,,,
Portugal,1986,16,,,,,,
Portugal,1987,14.5,,,,,,
Portugal,1988,13.5,,,,,,
Portugal,1989,14.5,,,,,,
Portugal,1990,14.5,,,,,,
Portugal,1991,20,,,,,,
Portugal,1992,21.964,,,,,,
Portugal,1993,11,,,,,,
Portugal,1994,8.875,,,,,,
Portugal,1995,8.5,,,,,,
Portugal,1996,6.7,,,,,,
Portugal,1997,5.15,,,,,,
Portugal,1998,3,,,,,,
Portugal,1999,3,,,,,,
Portugal,2000,4.75,,,,,,
Portugal,2001,3.25,,,,,,
Portugal,2002,2.75,,,,,,
Portugal,2003,2,,,,,,
Portugal,2004,2,,,,,,
Portugal,2005,2.25,,,,,,
Portugal,2006,3.5,,,,,,
Portugal,2007,4,,,,,,
Portugal,2008,2.5,,,,,,
Portugal,2009,1,,,,,,
Portugal,2010,1,,,,,,
Portugal,2011,1,,,,,,
Portugal,2012,0.75,,,,,,
Portugal,2013,0.25,,,,,,
Portugal,2014,0.05,,,,,,
Portugal,2015,0.05,,,,,,
Spain,1970,6.5,,,,,,
Spain,1971,5,,,,,,
Spain,1972,5,,,,,,
Spain,1973,6,,,,,,
Spain,1974,7,,,,,,
Spain,1975,7,,,,,,
Spain,1976,7,,,,,,
Spain,1977,8.031,,,,,,
Spain,1978,9.019,,,,,,
Spain,1979,7.975,,,,,,
Spain,1980,10.897,,,,,,
Spain,1981,10.509,,,,,,
Spain,1982,18.398,,,,,,
Spain,1983,21.399,,,,,,
Spain,1984,12.5,,,,,,
Spain,1985,10.5,,,,,,
Spain,1986,11.844,,,,,,
Spain,1987,13.5,,,,,,
Spain,1988,12.403,,,,,,
Spain,1989,14.52,,,,,,
Spain,1990,14.71,,,,,,
Spain,1991,12.5,,,,,,
Spain,1992,13.25,,,,,,
Spain,1993,9,,,,,,
Spain,1994,7.38,,,,,,
Spain,1995,9,,,,,,
Spain,1996,6.25,,,,,,
Spain,1997,4.75,,,,,,
Spain,1998,3,,,,,,
Spain,1999,3,,,,,,
Spain,2000,4.75,,,,,,
Spain,2001,3.25,,,,,,
Spain,2002,2.75,,,,,,
Spain,2003,2,,,,,,
Spain,2004,2,,,,,,
Spain,2005,2.25,,,,,,
Spain,2006,3.5,,,,,,
Spain,2007,4,,,,,,
Spain,2008,2.5,,,,,,
Spain,2009,1,,,,,,
Spain,2010,1,,,,,,
Spain,2011,1,,,,,,
Spain,2012,0.75,,,,,,
Spain,2013,0.25,,,,,,
Spain,2014,0.05,,,,,,
Spain,2015,0.05,,,,,,
Sweden,1970,7,,,,,,
Sweden,1971,6.035,,,,,,
Sweden,1972,5,,,,,,
Sweden,1973,5,,,,,,
Sweden,1974,6.1137,,,,,,
