Country,Year,CPI
Canada,1979,34.31
Canada,1980,37.81
Canada,1981,42.52
Canada,1982,47.11
Canada,1983,49.85
Canada,1984,52.02
Canada,1985,54.07
Canada,1986,56.33
Canada,1987,58.79
Canada,1988,61.15
Canada,1989,64.21
Canada,1990,67.27
Canada,1991,71.04
Canada,1992,72.11
Canada,1993,73.44
Canada,1994,73.58
Canada,1995,75.17
Canada,1996,76.35
Canada,1997,77.59
Canada,1998,78.36
Canada,1999,79.72
Canada,2000,81.89
Canada,2001,83.96
Canada,2002,85.85
Canada,2003,88.22
Canada,2004,89.86
Canada,2005,91.85
Canada,2006,93.69
Canada,2007,95.69
Canada,2008,97.96
Canada,2009,98.25
Canada,2010,100
Canada,2011,102.91
Canada,2012,104.47
Canada,2013,105.45
Canada,2014,107.46
Canada,2015,108.67
Canada,2016,110.22
Denmark,1950,5.97
Denmark,1951,6.6
Denmark,1952,6.85
Denmark,1953,6.92
Denmark,1954,6.92
Denmark,1955,7.29
Denmark,1956,7.74
Denmark,1957,7.95
Denmark,1958,8.01
Denmark,1959,8.14
Denmark,1960,8.25
Denmark,1961,8.53
Denmark,1962,9.16
Denmark,1963,9.72
Denmark,1964,10.02
Denmark,1965,10.57
Denmark,1966,11.31
Denmark,1967,12.24
Denmark,1968,13.21
Denmark,1969,13.68
Denmark,1970,14.57
Denmark,1971,15.42
Denmark,1972,16.43
Denmark,1973,17.96
Denmark,1974,20.71
Denmark,1975,22.69
Denmark,1976,24.74
Denmark,1977,27.49
Denmark,1978,30.24
Denmark,1979,33.15
Denmark,1980,37.23
Denmark,1981,41.62
Denmark,1982,45.82
Denmark,1983,48.99
Denmark,1984,52.08
Denmark,1985,54.51
Denmark,1986,56.53
Denmark,1987,58.79
Denmark,1988,61.46
Denmark,1989,64.4
Denmark,1990,66.11
Denmark,1991,67.68
Denmark,1992,69.1
Denmark,1993,69.96
Denmark,1994,71.36
Denmark,1995,72.86
Denmark,1996,74.39
Denmark,1997,76.03
Denmark,1998,77.44
Denmark,1999,79.36
Denmark,2000,81.68
Denmark,2001,83.6
Denmark,2002,85.62
Denmark,2003,87.41
Denmark,2004,88.43
Denmark,2005,90.03
Denmark,2006,91.73
Denmark,2007,93.3
Denmark,2008,96.47
Denmark,2009,97.75
Denmark,2010,100
Denmark,2011,102.76
Denmark,2012,105.22
Denmark,2013,106.05
Denmark,2014,106.65
Denmark,2015,107.13
Denmark,2016,107.4
Finland,1950,4.93
Finland,1951,5.73
Finland,1952,5.79
Finland,1953,5.9
Finland,1954,5.9
Finland,1955,5.73
Finland,1956,6.36
Finland,1957,7.08
Finland,1958,7.54
Finland,1959,7.66
Finland,1960,7.91
Finland,1961,8.05
Finland,1962,8.41
Finland,1963,8.82
Finland,1964,9.73
Finland,1965,10.2
Finland,1966,10.6
Finland,1967,11.2
Finland,1968,12.23
Finland,1969,12.5
Finland,1970,12.84
Finland,1971,13.67
Finland,1972,14.65
Finland,1973,16.26
Finland,1974,18.97
Finland,1975,22.35
Finland,1976,25.55
Finland,1977,28.79
Finland,1978,31.03
Finland,1979,33.35
Finland,1980,37.22
Finland,1981,41.69
Finland,1982,45.67
Finland,1983,49.49
Finland,1984,52.99
Finland,1985,56.1
Finland,1986,57.73
Finland,1987,60.08
Finland,1988,63.15
Finland,1989,67.34
Finland,1990,71.45
Finland,1991,74.39
Finland,1992,76.32
Finland,1993,77.92
Finland,1994,78.77
Finland,1995,79.55
Finland,1996,80.04
Finland,1997,80.99
Finland,1998,82.13
Finland,1999,83.08
Finland,2000,85.88
Finland,2001,88.08
Finland,2002,89.46
Finland,2003,90.24
Finland,2004,90.41
Finland,2005,91.19
Finland,2006,92.62
Finland,2007,94.94
Finland,2008,98.8
Finland,2009,98.8
Finland,2010,100
Finland,2011,103.42
Finland,2012,106.32
Finland,2013,107.89
Finland,2014,109.02
Finland,2015,108.79
Finland,2016,109.18
France,1950,6.03
France,1951,7.09
France,1952,7.94
France,1953,7.78
France,1954,7.81
France,1955,7.89
France,1956,8.23
France,1957,8.16
France,1958,9.41
France,1959,9.96
France,1960,10.37
France,1961,10.62
France,1962,11.18
France,1963,11.73
France,1964,12.11
France,1965,12.44
France,1966,12.76
France,1967,13.12
France,1968,13.72
France,1969,14.55
France,1970,15.4
France,1971,16.23
France,1972,17.21
France,1973,18.48
France,1974,21
France,1975,23.46
France,1976,25.72
France,1977,28.16
France,1978,30.76
France,1979,34.04
France,1980,38.65
France,1981,43.8
France,1982,49.05
France,1983,53.68
France,1984,57.8
France,1985,61.18
France,1986,62.73
France,1987,64.79
France,1988,66.54
France,1989,68.87
France,1990,71.2
France,1991,73.49
France,1992,75.23
France,1993,76.81
France,1994,78.09
France,1995,79.47
France,1996,81.07
France,1997,82.06
France,1998,82.55
France,1999,82.99
France,2000,84.4
France,2001,85.77
France,2002,87.42
France,2003,89.26
France,2004,91.17
France,2005,92.75
France,2006,94.31
France,2007,95.71
France,2008,98.41
France,2009,98.49
France,2010,100
France,2011,102.12
France,2012,104.11
France,2013,105.01
France,2014,105.55
France,2015,105.59
France,2016,105.78
Greece,1950,0.75
Greece,1951,0.84
Greece,1952,0.89
Greece,1953,0.97
Greece,1954,1.11
Greece,1955,1.18
Greece,1956,1.22
Greece,1957,1.06
Greece,1958,1.08
Greece,1959,1.1
Greece,1960,1.12
Greece,1961,1.14
Greece,1962,1.14
Greece,1963,1.17
Greece,1964,1.18
Greece,1965,1.22
Greece,1966,1.28
Greece,1967,1.3
Greece,1968,1.3
Greece,1969,1.34
Greece,1970,1.38
Greece,1971,1.42
Greece,1972,1.48
Greece,1973,1.71
Greece,1974,2.17
Greece,1975,2.46
Greece,1976,2.79
Greece,1977,3.13
Greece,1978,3.52
Greece,1979,4.19
Greece,1980,5.23
Greece,1981,6.51
Greece,1982,7.88
Greece,1983,9.47
Greece,1984,11.22
Greece,1985,13.38
Greece,1986,16.46
Greece,1987,19.16
Greece,1988,21.75
Greece,1989,24.74
Greece,1990,29.78
Greece,1991,35.58
Greece,1992,41.23
Greece,1993,47.17
Greece,1994,52.32
Greece,1995,57
Greece,1996,61.67
Greece,1997,65.09
Greece,1998,68.19
Greece,1999,69.99
Greece,2000,72.2
Greece,2001,74.64
Greece,2002,77.35
Greece,2003,80.08
Greece,2004,82.4
Greece,2005,85.32
Greece,2006,88.05
Greece,2007,90.6
Greece,2008,94.36
Greece,2009,95.5
Greece,2010,100
Greece,2011,103.33
Greece,2012,104.88
Greece,2013,103.92
Greece,2014,102.55
Greece,2015,100.77
Greece,2016,99.94
Iceland,1950,0.02
Iceland,1951,0.03
Iceland,1952,0.03
Iceland,1953,0.03
Iceland,1954,0.03
Iceland,1955,0.03
Iceland,1956,0.03
Iceland,1957,0.04
Iceland,1958,0.04
Iceland,1959,0.04
Iceland,1960,0.04
Iceland,1961,0.04
Iceland,1962,0.05
Iceland,1963,0.06
Iceland,1964,0.07
Iceland,1965,0.07
Iceland,1966,0.08
Iceland,1967,0.08
Iceland,1968,0.09
Iceland,1969,0.11
Iceland,1970,0.13
Iceland,1971,0.14
Iceland,1972,0.15
Iceland,1973,0.18
Iceland,1974,0.26
Iceland,1975,0.39
Iceland,1976,0.51
Iceland,1977,0.67
Iceland,1978,0.96
Iceland,1979,1.4
Iceland,1980,2.22
Iceland,1981,3.35
Iceland,1982,5.06
Iceland,1983,9.33
Iceland,1984,12.05
Iceland,1985,15.86
Iceland,1986,19.34
Iceland,1987,22.77
Iceland,1988,28.64
Iceland,1989,34.58
Iceland,1990,39.95
Iceland,1991,42.67
Iceland,1992,44.35
Iceland,1993,46.17
Iceland,1994,46.88
Iceland,1995,47.66
Iceland,1996,48.75
Iceland,1997,49.6
Iceland,1998,50.46
Iceland,1999,52.08
Iceland,2000,54.75
Iceland,2001,58.25
Iceland,2002,61.26
Iceland,2003,62.53
Iceland,2004,64.5
Iceland,2005,67.08
Iceland,2006,71.56
Iceland,2007,75.18
Iceland,2008,84.71
Iceland,2009,94.88
Iceland,2010,100
Iceland,2011,103.99
Iceland,2012,109.39
Iceland,2013,113.64
Iceland,2014,115.96
Iceland,2015,117.85
Iceland,2016,119.84
Ireland,1950,3.51
Ireland,1951,3.79
Ireland,1952,4.14
Ireland,1953,4.35
Ireland,1954,4.35
Ireland,1955,4.46
Ireland,1956,4.65
Ireland,1957,4.84
Ireland,1958,5.06
Ireland,1959,5.06
Ireland,1960,5.08
Ireland,1961,5.22
Ireland,1962,5.44
Ireland,1963,5.58
Ireland,1964,5.95
Ireland,1965,6.25
Ireland,1966,6.44
Ireland,1967,6.64
Ireland,1968,6.96
Ireland,1969,7.47
Ireland,1970,8.08
Ireland,1971,8.81
Ireland,1972,9.57
Ireland,1973,10.66
Ireland,1974,12.47
Ireland,1975,15.07
Ireland,1976,17.78
Ireland,1977,20.21
Ireland,1978,21.75
Ireland,1979,24.63
Ireland,1980,29.12
Ireland,1981,35.04
Ireland,1982,41.04
Ireland,1983,45.35
Ireland,1984,49.24
Ireland,1985,51.92
Ireland,1986,53.9
Ireland,1987,55.58
Ireland,1988,56.78
Ireland,1989,59.12
Ireland,1990,61.06
Ireland,1991,63.01
Ireland,1992,64.98
Ireland,1993,65.89
Ireland,1994,67.44
Ireland,1995,69.13
Ireland,1996,70.3
Ireland,1997,71.31
Ireland,1998,73.05
Ireland,1999,74.24
Ireland,2000,78.38
Ireland,2001,82.19
Ireland,2002,86.02
Ireland,2003,89.01
Ireland,2004,90.96
Ireland,2005,93.18
Ireland,2006,96.85
Ireland,2007,101.57
Ireland,2008,105.69
Ireland,2009,100.96
Ireland,2010,100
Ireland,2011,102.58
Ireland,2012,104.32
Ireland,2013,104.84
Ireland,2014,105.05
Ireland,2015,104.74
Ireland,2016,104.74
Italy,1950,3.04
Italy,1951,3.47
Italy,1952,3.54
Italy,1953,3.59
Italy,1954,3.7
Italy,1955,3.81
Italy,1956,3.92
Italy,1957,3.98
Italy,1958,4.09
Italy,1959,4.09
Italy,1960,4.15
Italy,1961,4.26
Italy,1962,4.43
Italy,1963,4.76
Italy,1964,5.04
Italy,1965,5.27
Italy,1966,5.43
Italy,1967,5.6
Italy,1968,5.71
Italy,1969,5.83
Italy,1970,6.11
Italy,1971,6.44
Italy,1972,6.78
Italy,1973,7.51
Italy,1974,8.96
Italy,1975,10.48
Italy,1976,12.21
Italy,1977,14.34
Italy,1978,16.08
Italy,1979,18.43
Italy,1980,22.35
Italy,1981,26.33
Italy,1982,30.65
Italy,1983,35.13
Italy,1984,38.94
Italy,1985,42.52
Italy,1986,44.99
Italy,1987,47.12
Italy,1988,49.53
Italy,1989,52.61
Italy,1990,56.02
Italy,1991,59.55
Italy,1992,62.58
Italy,1993,65.38
Italy,1994,68.01
Italy,1995,71.58
Italy,1996,74.43
Italy,1997,75.95
Italy,1998,77.44
Italy,1999,78.72
Italy,2000,80.7
Italy,2001,82.95
Italy,2002,84.99
Italy,2003,87.27
Italy,2004,89.2
Italy,2005,90.98
Italy,2006,92.87
Italy,2007,94.56
Italy,2008,97.75
Italy,2009,98.48
Italy,2010,100
Italy,2011,102.74
Italy,2012,105.87
Italy,2013,107.16
Italy,2014,107.42
Italy,2015,107.46
Italy,2016,107.33
Japan,1957,17.91
Japan,1958,17.83
Japan,1959,18.02
Japan,1960,18.67
Japan,1961,19.68
Japan,1962,21.01
Japan,1963,22.62
Japan,1964,23.49
Japan,1965,25.04
Japan,1966,26.31
Japan,1967,27.36
Japan,1968,28.83
Japan,1969,30.34
Japan,1970,32.66
Japan,1971,34.74
Japan,1972,36.42
Japan,1973,40.65
Japan,1974,50.08
Japan,1975,55.97
Japan,1976,61.23
Japan,1977,66.21
Japan,1978,69
Japan,1979,71.55
Japan,1980,77.14
Japan,1981,80.93
Japan,1982,83.13
Japan,1983,84.69
Japan,1984,86.63
Japan,1985,88.4
Japan,1986,88.93
Japan,1987,89.06
Japan,1988,89.65
Japan,1989,91.69
Japan,1990,94.47
Japan,1991,97.59
Japan,1992,99.25
Japan,1993,100.51
Japan,1994,101.2
Japan,1995,101.08
Japan,1996,101.21
Japan,1997,102.99
Japan,1998,103.68
Japan,1999,103.33
Japan,2000,102.66
Japan,2001,101.9
Japan,2002,100.96
Japan,2003,100.7
Japan,2004,100.69
Japan,2005,100.41
Japan,2006,100.66
Japan,2007,100.72
Japan,2008,102.11
Japan,2009,100.73
Japan,2010,100
Japan,2011,99.73
Japan,2012,99.68
Japan,2013,100.03
Japan,2014,102.79
Japan,2015,103.6
Japan,2016,103.48
Luxembourg,1950,14.43
Luxembourg,1951,15.62
Luxembourg,1952,15.88
Luxembourg,1953,15.85
Luxembourg,1954,16
Luxembourg,1955,15.99
Luxembourg,1956,16.08
Luxembourg,1957,16.82
Luxembourg,1958,16.93
Luxembourg,1959,17
Luxembourg,1960,17.07
Luxembourg,1961,17.16
Luxembourg,1962,17.31
Luxembourg,1963,17.81
Luxembourg,1964,18.39
Luxembourg,1965,19
Luxembourg,1966,19.63
Luxembourg,1967,20.06
Luxembourg,1968,20.59
Luxembourg,1969,21.06
Luxembourg,1970,22.04
Luxembourg,1971,23.07
Luxembourg,1972,24.27
Luxembourg,1973,25.76
Luxembourg,1974,28.2
Luxembourg,1975,31.23
Luxembourg,1976,34.29
Luxembourg,1977,36.58
Luxembourg,1978,37.72
Luxembourg,1979,39.43
Luxembourg,1980,41.92
Luxembourg,1981,45.3
Luxembourg,1982,49.54
Luxembourg,1983,53.83
Luxembourg,1984,56.87
Luxembourg,1985,59.2
Luxembourg,1986,59.37
Luxembourg,1987,59.29
Luxembourg,1988,60.19
Luxembourg,1989,62.22
Luxembourg,1990,64.52
Luxembourg,1991,66.53
Luxembourg,1992,68.63
Luxembourg,1993,71.09
Luxembourg,1994,72.65
Luxembourg,1995,74.05
Luxembourg,1996,75.08
Luxembourg,1997,76.1
Luxembourg,1998,76.83
Luxembourg,1999,77.61
Luxembourg,2000,80.05
Luxembourg,2001,82.18
Luxembourg,2002,83.89
Luxembourg,2003,85.61
Luxembourg,2004,87.51
Luxembourg,2005,89.69
Luxembourg,2006,92.09
Luxembourg,2007,94.21
Luxembourg,2008,97.42
Luxembourg,2009,97.78
Luxembourg,2010,100
Luxembourg,2011,103.41
Luxembourg,2012,106.16
Luxembourg,2013,108.01
Luxembourg,2014,108.69
Luxembourg,2015,109.2
Luxembourg,2016,109.53
Netherlands,1950,12.15
Netherlands,1951,13.6
Netherlands,1952,13.6
Netherlands,1953,13.6
Netherlands,1954,14.14
Netherlands,1955,14.41
Netherlands,1956,14.68
Netherlands,1957,15.58
Netherlands,1958,15.92
Netherlands,1959,16.09
Netherlands,1960,16.46
Netherlands,1961,16.68
Netherlands,1962,17.06
Netherlands,1963,17.63
Netherlands,1964,18.65
Netherlands,1965,19.73
Netherlands,1966,20.87
Netherlands,1967,21.6
Netherlands,1968,22.4
Netherlands,1969,24.06
Netherlands,1970,24.94
Netherlands,1971,26.81
Netherlands,1972,28.9
Netherlands,1973,31.21
Netherlands,1974,34.21
Netherlands,1975,37.71
Netherlands,1976,41.12
Netherlands,1977,43.79
Netherlands,1978,45.57
Netherlands,1979,47.49
Netherlands,1980,50.6
Netherlands,1981,54.01
Netherlands,1982,57.19
Netherlands,1983,58.77
Netherlands,1984,60.71
Netherlands,1985,62.06
Netherlands,1986,62.18
Netherlands,1987,61.75
Netherlands,1988,62.2
Netherlands,1989,62.88
Netherlands,1990,64.42
Netherlands,1991,66.44
Netherlands,1992,68.55
Netherlands,1993,70.32
Netherlands,1994,72.29
Netherlands,1995,73.69
Netherlands,1996,75.17
Netherlands,1997,76.81
Netherlands,1998,78.33
Netherlands,1999,80.05
Netherlands,2000,81.9
Netherlands,2001,85.31
Netherlands,2002,88.12
Netherlands,2003,89.98
Netherlands,2004,91.09
Netherlands,2005,92.62
Netherlands,2006,93.7
Netherlands,2007,95.21
Netherlands,2008,97.58
Netherlands,2009,98.74
Netherlands,2010,100
Netherlands,2011,102.34
Netherlands,2012,104.85
Netherlands,2013,107.48
Netherlands,2014,108.53
Netherlands,2015,109.18
Netherlands,2016,109.53
New Zealand,1950,3.22
New Zealand,1951,3.58
New Zealand,1952,3.86
New Zealand,1953,4.04
New Zealand,1954,4.23
New Zealand,1955,4.33
New Zealand,1956,4.48
New Zealand,1957,4.58
New Zealand,1958,4.78
New Zealand,1959,4.96
New Zealand,1960,5
New Zealand,1961,5.09
New Zealand,1962,5.23
New Zealand,1963,5.33
New Zealand,1964,5.51
New Zealand,1965,5.7
New Zealand,1966,5.85
New Zealand,1967,6.21
New Zealand,1968,6.48
New Zealand,1969,6.79
New Zealand,1970,7.25
New Zealand,1971,8
New Zealand,1972,8.54
New Zealand,1973,9.24
New Zealand,1974,10.28
New Zealand,1975,11.78
New Zealand,1976,13.75
New Zealand,1977,15.76
New Zealand,1978,17.63
New Zealand,1979,20.05
New Zealand,1980,23.48
New Zealand,1981,27.08
New Zealand,1982,31.46
New Zealand,1983,33.77
New Zealand,1984,35.87
New Zealand,1985,41.39
New Zealand,1986,46.86
New Zealand,1987,54.24
New Zealand,1988,57.7
New Zealand,1989,61
New Zealand,1990,64.72
New Zealand,1991,66.4
New Zealand,1992,67.08
New Zealand,1993,67.94
New Zealand,1994,69.08
New Zealand,1995,71.67
New Zealand,1996,73.31
New Zealand,1997,74.18
New Zealand,1998,75.1
New Zealand,1999,75.31
New Zealand,2000,77.58
New Zealand,2001,79.52
New Zealand,2002,81.64
New Zealand,2003,82.56
New Zealand,2004,84.45
New Zealand,2005,87.01
New Zealand,2006,89.94
New Zealand,2007,92.08
New Zealand,2008,95.72
New Zealand,2009,97.75
New Zealand,2010,100
New Zealand,2011,104.43
New Zealand,2012,105.36
New Zealand,2013,106.73
New Zealand,2014,107.7
New Zealand,2015,108.06
New Zealand,2016,109.23
Norway,1950,5.77
Norway,1951,6.69
Norway,1952,7.28
Norway,1953,7.43
Norway,1954,7.76
Norway,1955,7.83
Norway,1956,8.13
Norway,1957,8.36
Norway,1958,8.76
Norway,1959,8.95
Norway,1960,8.99
Norway,1961,9.21
Norway,1962,9.69
Norway,1963,9.95
Norway,1964,10.51
Norway,1965,10.96
Norway,1966,11.31
Norway,1967,11.82
Norway,1968,12.23
Norway,1969,12.6
Norway,1970,13.93
Norway,1971,14.8
Norway,1972,15.87
Norway,1973,17.06
Norway,1974,18.66
Norway,1975,20.85
Norway,1976,22.76
Norway,1977,24.82
Norway,1978,26.84
Norway,1979,28.12
Norway,1980,31.18
Norway,1981,35.43
Norway,1982,39.46
Norway,1983,42.78
Norway,1984,45.47
Norway,1985,48.04
Norway,1986,51.5
Norway,1987,55.99
Norway,1988,59.74
Norway,1989,62.46
Norway,1990,65.03
Norway,1991,67.25
Norway,1992,68.83
Norway,1993,70.39
Norway,1994,71.38
Norway,1995,73.13
Norway,1996,74.05
Norway,1997,75.96
Norway,1998,77.68
Norway,1999,79.49
Norway,2000,81.94
Norway,2001,84.41
Norway,2002,85.5
Norway,2003,87.62
Norway,2004,88.03
Norway,2005,89.37
Norway,2006,91.45
Norway,2007,92.12
Norway,2008,95.59
Norway,2009,97.66
Norway,2010,100
Norway,2011,101.3
Norway,2012,102.02
Norway,2013,104.19
Norway,2014,106.3
Norway,2015,108.61
Norway,2016,112.47
Portugal,1950,1.14
Portugal,1951,1.12
Portugal,1952,1.12
Portugal,1953,1.13
Portugal,1954,1.14
Portugal,1955,1.14
Portugal,1956,1.18
Portugal,1957,1.19
Portugal,1958,1.21
Portugal,1959,1.23
Portugal,1960,1.26
Portugal,1961,1.28
Portugal,1962,1.32
Portugal,1963,1.35
Portugal,1964,1.39
Portugal,1965,1.44
Portugal,1966,1.51
Portugal,1967,1.6
Portugal,1968,1.69
Portugal,1969,1.82
Portugal,1970,1.9
Portugal,1971,2.04
Portugal,1972,2.23
Portugal,1973,2.46
Portugal,1974,3.14
Portugal,1975,3.78
Portugal,1976,4.47
Portugal,1977,5.69
Portugal,1978,6.98
Portugal,1979,8.62
Portugal,1980,10.06
Portugal,1981,12.08
Portugal,1982,14.82
Portugal,1983,18.54
Portugal,1984,23.88
Portugal,1985,28.57
Portugal,1986,31.93
Portugal,1987,34.92
Portugal,1988,38.3
Portugal,1989,43.14
Portugal,1990,48.91
Portugal,1991,54.25
Portugal,1992,59.1
Portugal,1993,62.94
Portugal,1994,66.22
Portugal,1995,68.95
Portugal,1996,71.11
Portugal,1997,72.64
Portugal,1998,74.62
Portugal,1999,76.34
Portugal,2000,78.51
Portugal,2001,81.96
Portugal,2002,84.86
Portugal,2003,87.65
Portugal,2004,89.72
Portugal,2005,91.77
Portugal,2006,94.29
Portugal,2007,96.94
Portugal,2008,99.45
Portugal,2009,98.62
Portugal,2010,100
Portugal,2011,103.65
Portugal,2012,106.53
Portugal,2013,106.82
Portugal,2014,106.52
Portugal,2015,107.04
Portugal,2016,107.69
Spain,1950,1.71
Spain,1951,1.87
Spain,1952,1.83
Spain,1953,1.86
Spain,1954,1.88
Spain,1955,1.96
Spain,1956,2.07
Spain,1957,2.3
Spain,1958,2.6
Spain,1959,2.79
Spain,1960,2.83
Spain,1961,2.88
Spain,1962,3.05
Spain,1963,3.31
Spain,1964,3.54
Spain,1965,4.01
Spain,1966,4.26
Spain,1967,4.54
Spain,1968,4.76
Spain,1969,4.86
Spain,1970,5.14
Spain,1971,5.56
Spain,1972,6.03
Spain,1973,6.71
Spain,1974,7.77
Spain,1975,9.08
Spain,1976,10.68
Spain,1977,13.3
Spain,1978,15.93
Spain,1979,18.43
Spain,1980,21.3
Spain,1981,24.4
Spain,1982,27.91
Spain,1983,31.31
Spain,1984,34.84
Spain,1985,37.92
Spain,1986,41.25
Spain,1987,43.41
Spain,1988,45.52
Spain,1989,48.61
Spain,1990,51.87
Spain,1991,54.95
Spain,1992,58.21
Spain,1993,60.87
Spain,1994,63.74
Spain,1995,66.72
Spain,1996,69.09
Spain,1997,70.45
Spain,1998,71.75
Spain,1999,73.4
Spain,2000,75.92
Spain,2001,78.65
Spain,2002,81.06
Spain,2003,83.53
Spain,2004,86.06
Spain,2005,88.96
Spain,2006,92.09
Spain,2007,94.66
Spain,2008,98.52
Spain,2009,98.23
Spain,2010,100
Spain,2011,103.2
Spain,2012,105.72
Spain,2013,107.21
Spain,2014,107.05
Spain,2015,106.51
Spain,2016,106.3
Sweden,1950,5.85
Sweden,1951,6.77
Sweden,1952,7.3
Sweden,1953,7.41
Sweden,1954,7.47
Sweden,1955,7.7
Sweden,1956,8.05
Sweden,1957,8.41
Sweden,1958,8.77
Sweden,1959,8.85
Sweden,1960,9.21
Sweden,1961,9.41
Sweden,1962,9.86
Sweden,1963,10.14
