Country,Year,Policy,Discount,Money Market,,,,,,
Finland,1961,,6.75,,,,,0,,
Finland,1962,,7,,,,,0,,
Finland,1963,,7,,,,,0,,
Finland,1964,,7,,,,,0,,
Finland,1965,,7,,,,,0,,
Finland,1966,,7,,,,,0,,
Finland,1967,,7,,,,,0,,
Finland,1968,,7,,,,,0,,
Finland,1969,,7,,,,,0,,
Finland,1970,,7,,,,,0,,
Finland,1971,,8.5,,,,,0,,
Finland,1972,,7.75,,,,,0,,
Finland,1973,,9.25,,,,,0,,
Finland,1974,,9.25,,,,,0,,
Finland,1975,,9.25,,,,,0,,
Finland,1976,,9.25,,,,,0,,
Finland,1977,,8.25,,,,,0,,
Finland,1978,,7.25,11.75,,,,0.1175,,0.1175
Finland,1979,,8.5,9.26,,,,0.0926,,0.0926
Finland,1980,,9.25,12.35,,,,0.1235,,0.1235
Finland,1981,,9.25,11.46,,,,0.1146,,0.1146
Finland,1982,,8.5,11.66,,,,0.1166,,0.1166
Finland,1983,,9.5,14.67,,,,0.1467,,0.1467
Finland,1984,,9.5,16.5,,,,0.165,,0.165
Finland,1985,,9,13.46,,,,0.1346,,0.1346
Finland,1986,,7,11.9,,,,0.119,,0.119
Finland,1987,,7,10.03,,,,0.1003,,0.1003
Finland,1988,,8,9.97,,,,0.0997,,0.0997
Finland,1989,,8.5,12.56,,,,0.1256,,0.1256
Finland,1990,,8.5,14,,,,0.14,,0.14
Finland,1991,,8.5,13.08,,,,0.1308,,0.1308
Finland,1992,,9.5,13.25,,,,0.1325,,0.1325
Finland,1993,,5.5,7.77,,,,0.0777,,0.0777
Finland,1994,,5.25,5.35,,,,0.0535,,0.0535
Finland,1995,,4.88,5.75,,,,0.0575,,0.0575
Finland,1996,,4,3.63,,,,0.0363,,0.0363
Finland,1997,,4,3.23,,,,0.0323,,0.0323
Finland,1998,,3.5,3.57,,,,0.0357,,0.0357
Finland,1999,,,2.96,,,,0.0296,,0.0296
Finland,2000,,,4.39,,,,0.0439,,0.0439
Finland,2001,,,4.26,,,,0.0426,,0.0426
Finland,2002,,,3.32,,,,0.0332,,0.0332
Finland,2003,,,2.33,,,,0.0233,,0.0233
Finland,2004,,2.25,2.11,,,,0.0211,,0.0211
Finland,2005,,,2.18,,,,0.0218,,0.0218
Finland,2006,,,3.08,,,,0.0308,,0.0308
Finland,2007,,,4.28,,,,0.0428,,0.0428
Finland,2008,,,4.63,,,,0.0463,,0.0463
Finland,2009,,,1.23,,,,0.0123,,0.0123
Finland,2010,,,0.81,,,,0.0081,,0.0081
Finland,2011,,,1.39,,,,0.0139,,0.0139
Finland,2012,,,0.57,,,,0.0057,,0.0057
Finland,2013,,,0.22,,,,0.0022,,0.0022
Finland,2014,,,0.21,,,,0.0021,,0.0021
Finland,2015,,,-0.02,,,,-0.0002,,-0.0002
Finland,2016,,,-0.26,,,,-0.0026,,-0.0026
France,1950,,,2.43,,,,0,,
France,1951,,,2.7,,,,0,,
France,1952,,,3.71,,,,0,,
France,1953,,,4.04,,,,0,,
France,1954,,,3.59,,,,0,,
France,1955,,,3.16,,,,0,,
France,1956,,,3.19,,,,0,,
France,1957,,,5.35,,,,0,,
France,1958,,,6.48,,,,0,,
France,1959,,,4.07,,,,0,,
France,1960,,,4.08,,,,0,,
France,1961,,,3.65,,,,0,,
France,1962,,,3.61,,,,0,,
France,1963,,,3.98,,,,0,,
France,1964,,,4.73,,,,0,,
France,1965,,,4.21,,,,0,,
France,1966,,,4.78,,,,0,,
France,1967,,,4.8,,,,0,,
France,1968,,,6.14,,,,0,,
France,1969,,,8.96,,,,0,,
France,1970,,,8.68,,,,0,,
France,1971,,,5.84,,,,0,,
France,1972,,,4.95,,,,0,,
France,1973,,,8.91,,,,0,,
France,1974,,,12.91,,,,0,,
France,1975,,,7.92,,,,0,,
France,1976,,,8.56,,,,0,,
France,1977,,,9.07,,,,0,,
France,1978,,,7.98,,,,0,,
France,1979,,,9.04,,,,0,,
France,1980,,,11.84,,,,0,,
France,1981,,,15.3,,,,0,,
France,1982,,,14.87,,,,0,,
France,1983,,,12.53,,,,0,,
France,1984,,,11.74,,,,0,,
France,1985,,,9.93,,,,0,,
France,1986,,,7.74,,,,0,,
France,1987,,,7.98,,,,0,,
France,1988,,,7.52,,,,0,,
France,1989,,,9.07,,,,0,,
France,1990,,,9.85,,,,0,,
France,1991,,,9.49,,,,0,,
France,1992,,,10.35,,,,0,,
France,1993,,,8.75,,,,0,,
France,1994,,,5.69,,,,0,,
France,1995,,,6.35,,,,0,,
France,1996,,,3.73,,,,0,,
France,1997,,,3.24,,,,0,,
France,1998,,,3.39,,,,0,,
Germany,1950,,6,4.31,,,,0,,
Germany,1951,,6,6.02,,,,0,,
Germany,1952,,4.5,5.11,,,,0,,
Germany,1953,,3.5,3.58,,,,0,,
Germany,1954,,3,2.89,,,,0,,
Germany,1955,,3.5,3.13,,,,0,,
Germany,1956,,5,4.7,,,,0,,
Germany,1957,,4,3.96,,,,0,,
Germany,1958,,3,3.08,,,,0,,
Germany,1959,,4,2.7,,,,0,,
Germany,1960,,4,4.56,,,,0,,
Germany,1961,,3,2.93,,,,0,,
Germany,1962,,3,2.66,,,,0,,
Germany,1963,,3,3,,,,0,,
Germany,1964,,3,3.29,,,,0,,
Germany,1965,,4,4.1,,,,0,,
Germany,1966,,5,5.34,,,,0,,
Germany,1967,,3,3.35,,,,0,,
Germany,1968,,3,2.59,,,,0,,
Germany,1969,,6,4.81,,,,0,,
Germany,1970,,6,8.65,,,,0,,
Germany,1971,,4,6.16,,,,0,,
Germany,1972,,4.5,4.3,,,,0,,
Germany,1973,,7,10.18,,,,0,,
Germany,1974,,6,8.87,,,,0,,
Germany,1975,,3.5,4.4,,,,0,,
Germany,1976,,3.5,3.89,,,,0,,
Germany,1977,,3,4.14,,,,0,,
Germany,1978,,3,3.36,,,,0,,
Germany,1979,,6,5.87,,,,0,,
Germany,1980,,7.5,9.06,,,,0,,
Germany,1981,,7.5,11.26,,,,0,,
Germany,1982,,5,8.67,,,,0,,
Germany,1983,,4,5.36,,,,0,,
Germany,1984,,4.5,5.55,,,,0,,
Germany,1985,,4,5.19,,,,0,,
Germany,1986,,3.5,4.57,,,,0,,
Germany,1987,,2.5,3.72,,,,0,,
Germany,1988,,3.5,4.01,,,,0,,
Germany,1989,,6,6.59,,,,0,,
Germany,1990,,6,7.92,,,,0,,
Germany,1991,,8,8.84,,,,0,,
Germany,1992,,8.25,9.42,,,,0,,
Germany,1993,,5.75,7.49,,,,0,,
Germany,1994,,4.5,5.35,,,,0,,
Germany,1995,,3,4.5,,,,0,,
Germany,1996,,2.5,3.27,,,,0,,
Germany,1997,,2.5,3.18,,,,0,,
Germany,1998,,2.5,3.41,,,,0,,
Germany,1999,,,2.73,,,,0,,
Germany,2000,,,4.11,,,,0,,
Germany,2001,,,4.37,,,,0,,
Germany,2002,,,3.28,,,,0,,
Germany,2003,,,2.32,,,,0,,
Germany,2004,,,2.05,,,,0,,
Germany,2005,,,2.09,,,,0,,
Germany,2006,,,2.84,,,,0,,
Germany,2007,,,3.86,,,,0,,
Germany,2008,,,3.82,,,,0,,
Germany,2009,,,0.63,,,,0,,
Germany,2010,,,0.38,,,,0,,
Germany,2011,,,0.81,,,,0,,
Germany,2012,,,0.26,,,,0,,
Greece,1950,,12,,,,,0,,
Greece,1951,,12,,,,,0,,
Greece,1952,,12,,,,,0,,
Greece,1953,,12,,,,,0,,
Greece,1954,,10,,,,,0,,
Greece,1955,,9,,,,,0,,
Greece,1956,,11,,,,,0,,
Greece,1957,,11,,,,,0,,
Greece,1958,,11,,,,,0,,
Greece,1959,,9,,,,,0,,
Greece,1960,,6,,,,,0,,
Greece,1961,,6,,,,,0,,
Greece,1962,,6,,,,,0,,
Greece,1963,,5.5,,,,,0,,
Greece,1964,,5.5,,,,,0,,
Greece,1965,,5.5,,,,,0,,
Greece,1966,,5.5,,,,,0,,
Greece,1967,,4.5,,,,,0,,
Greece,1968,,5,,,,,0,,
Greece,1969,,6.5,,,,,0,,
Greece,1970,,6.5,,,,,0,,
Greece,1971,,6.5,,,,,0,,
Greece,1972,,6.5,,,,,0,,
Greece,1973,,9,,,,,0,,
Greece,1974,,8,,,,,0,,
Greece,1975,,10,,,,,0,,
Greece,1976,,10,,,,,0,,
Greece,1977,,11,,,,,0,,
Greece,1978,,14,,,,,0,,
Greece,1979,,19,,,,,0,,
Greece,1980,,20.5,,,,,0,,
Greece,1981,,20.5,,,,,0,,
Greece,1982,,20.5,,,,,0,,
Greece,1983,,20.5,,,,,0,,
Greece,1984,,20.5,,,,,0,,
Greece,1985,,20.5,,,,,0,,
Greece,1986,,20.5,,,,,0,,
Greece,1987,,20.5,,,,,0,,
Greece,1988,,19,,,,,0,,
Greece,1989,,19,,,,,0,,
Greece,1990,,19,,,,,0,,
Greece,1991,,19,,,,,0,,
Greece,1992,,19,,,,,0,,
Greece,1993,,21.5,,,,,0,,
Greece,1994,,20.5,24.6,,,,0,,
Greece,1995,,18,16.4,,,,0,,
Greece,1996,,16.5,13.8,,,,0,,
Greece,1997,,14.5,12.8,,,,0,,
Greece,1998,,12.25,13.99,,,,0,,
Greece,1999,,11.81,,,,,0,,
Greece,2000,,8.1,,,,,0,,
Iceland,1950,,3.5,,,,,0,,
Iceland,1951,,4.5,,,,,0,,
Iceland,1952,,4.5,,,,,0,,
Iceland,1953,,4.5,,,,,0,,
Iceland,1954,,4.5,,,,,0,,
Iceland,1955,,4.5,,,,,0,,
Iceland,1956,,4.5,,,,,0,,
Iceland,1957,,4.5,,,,,0,,
Iceland,1958,,4.5,,,,,0,,
Iceland,1959,,4.5,,,,,0,,
Iceland,1960,,6.3,,,,,0,,
Iceland,1961,,6.3,,,,,0,,
Iceland,1962,,6.3,,,,,0,,
Iceland,1963,,6.3,,,,,0,,
Iceland,1964,,6.3,,,,,0,,
Iceland,1965,,5,,,,,0,,
Iceland,1966,,5.3,,,,,0,,
Iceland,1967,,5.3,,,,,0,,
Iceland,1968,,5.3,,,,,0,,
Iceland,1969,,5.3,,,,,0,,
Iceland,1970,,5.3,,,,,0,,
Iceland,1971,,5.3,,,,,0,,
Iceland,1972,,5.3,,,,,0,,
Iceland,1973,,6.3,,,,,0,,
Iceland,1974,,7.3,,,,,0,,
Iceland,1975,,7.3,,,,,0,,
Iceland,1976,,7.3,,,,,0,,
Iceland,1977,,14,,,,,0,,
Iceland,1978,,17,,,,,0,,
Iceland,1979,,26,,,,,0,,
Iceland,1980,,28,,,,,0,,
Iceland,1981,,28,,,,,0,,
Iceland,1982,,28,,,,,0,,
Iceland,1983,,22,,,,,0,,
Iceland,1984,,16.5,36.9,,,,0,,
Iceland,1985,,30,,,,,0,,
Iceland,1986,,21,,,,,0,,
Iceland,1987,,49.2,31.52,,,,0,,
Iceland,1988,,24.1,34.49,,,,0,,
Iceland,1989,,38.4,21.58,,,,0,,
Iceland,1990,,21,12.73,,,,0,,
Iceland,1991,,21,14.85,,,,0,,
Iceland,1992,,16.63,12.38,,,,0,,
Iceland,1993,,,8.61,,,,0,,
Iceland,1994,,4.7,4.96,,,,0,,
Iceland,1995,,5.93,6.58,,,,0,,
Iceland,1996,,5.7,6.96,,,,0,,
Iceland,1997,,6.55,7.38,,,,0,,
Iceland,1998,,8.5,8.12,,,,0,,
Iceland,1999,,10,9.24,,,,0,,
Iceland,2000,,12.4,11.61,,,,0,,
Iceland,2001,,12,14.51,,,,0,,
Iceland,2002,,8.2,11.21,,,,0,,
Iceland,2003,,7.7,5.14,,,,0,,
Iceland,2004,,10.25,6.22,,,,0,,
Iceland,2005,,12,9.05,,,,0,,
Iceland,2006,,15.25,12.41,,,,0,,
Iceland,2007,,15.25,13.96,,,,0,,
Iceland,2008,,22,16.05,,,,0,,
Iceland,2009,,14.55,11.15,,,,0,,
Iceland,2010,,5.5,6.92,,,,0,,
Iceland,2011,,5.75,3.94,,,,0,,
Iceland,2012,,7,4.8,,,,0,,
Iceland,2013,,7,5.35,,,,0,,
Iceland,2014,,6.25,5.17,,,,0,,
Iceland,2015,,7.5,5,,,,0,,
Iceland,2016,,6.75,5.47,,,,0,,
Ireland,1950,,2.5,,,,,0,,
Ireland,1951,,2.5,,,,,0,,
Ireland,1952,,3.5,,,,,0,,
Ireland,1953,,3.5,,,,,0,,
Ireland,1954,,3,,,,,0,,
Ireland,1955,,4,,,,,0,,
Ireland,1956,,5,,,,,0,,
Ireland,1957,,6,,,,,0,,
Ireland,1958,,4.25,,,,,0,,
Ireland,1959,,4.25,,,,,0,,
Ireland,1960,,4.63,,,,,0,,
Ireland,1961,,5.56,,,,,0,,
Ireland,1962,,3.86,,,,,0,,
Ireland,1963,,3.98,,,,,0,,
Ireland,1964,,6.81,,,,,0,,
Ireland,1965,,5.88,,,,,0,,
Ireland,1966,,6.87,,,,,0,,
Ireland,1967,,7.78,,,,,0,,
Ireland,1968,,7.17,,,,,0,,
Ireland,1969,,8.25,,,,,0,,
Ireland,1970,,7.31,,,,,0,,
Ireland,1971,,4.81,4.81,,,,0.0481,,
Ireland,1972,,8,8.75,,,,0.0875,,
Ireland,1973,,12.75,12.12,,,,0.1212,,
Ireland,1974,,12,13.81,,,,0.1381,,
Ireland,1975,,10,10.71,,,,0.1071,,
Ireland,1976,,14.75,14.94,,,,0.1494,,
Ireland,1977,,6.75,8.27,,,,0.0827,,
Ireland,1978,,11.85,12.44,,,,0.1244,,
Ireland,1979,,16.5,16.11,,,,0.1611,,
Ireland,1980,,14,16.39,,,,0.1639,,
Ireland,1981,,16.5,16.2,,,,0.162,,
Ireland,1982,,14,17.65,,,,0.1765,,
Ireland,1983,,12.25,14.45,,,,0.1445,,
